379956	1601	Geranium sylvaticum
38820	1792	Poales
1578718	1828	Elymus sajanensis
52709	1989	Elymus trachycaulus
71275	2162	rosids
180763	2359	Vaccinium myrtillus
71274	2374	asterids
147368	2571	Pooideae
13749	2621	Vaccinium
180772	2694	Vaccinium vitis-idaea
1435578	2706	Urtica dioica subsp. sondenii
430623	2742	Elymus alaskanus
430624	2813	Elymus fibrosus
3257	2996	Equisetum
15303	3062	Alopecurus
91882	3119	campanulids
147389	3272	Triticeae
199171	3789	Empetrum nigrum subsp. hermaphroditum
231681	3928	Equisetum pratense
13055	4041	Chamaenerion angustifolium
58024	4051	Spermatophyta
721813	4285	Maleae
23216	4876	Rubus
165317	4888	Veronica longifolia
91835	5506	fabids
1435599	6032	Urtica dioica subsp. dioica
19952	7168	Valeriana
129741	7331	Elymus caninus
3514	10628	Betulaceae
48032	10787	Carum carvi
75091	10868	Rubus saxatilis
48027	15637	Anthriscus sylvestris
216991	18080	Betula humilis
15492	19043	Elymus
1648017	19479	Hordeinae
3501	20153	Urtica dioica
1437201	25457	Pentapetalae
58023	30390	Tracheophyta
78536	36429	Euphyllophyta
241778	43112	Apioideae
669861	49105	Valeriana excelsa subsp. sambucifolia
1437183	52433	Mesangiospermae
717482	54425	Betula nana subsp. exilis
38787	75173	Betula pubescens
216990	103508	Betula nana
3504	241381	Betula
91836	0	malvids
4345	0	Ericaceae
3744	0	Rosales
3745	0	Rosaceae
