num_reads	tax_id	scientific_name	sample	workflow
3049	129748	Elymus mutabilis	GB5	wholeskim
2573	23216	Rubus	GB5	wholeskim
2321	238243	Chamaenerion	GB5	wholeskim
2232	147387	Poeae	GB5	wholeskim
2090	1435578	Urtica dioica subsp. sondenii	GB5	wholeskim
2078	112517	Hordeum comosum	GB5	wholeskim
2048	4447	Liliopsida	GB5	wholeskim
2030	243113	Valeriana sitchensis	GB5	wholeskim
1897	368342	Alopecurus magellanicus	GB5	wholeskim
1741	2948570	Poodinae	GB5	wholeskim
1732	231681	Equisetum pratense	GB5	wholeskim
48967	1648017	Hordeinae	IG4	holi
19803	241778	Apioideae	IG4	holi
15696	38820	Poales	IG4	holi
11351	13329	Achillea millefolium	IG4	holi
7509	147368	Pooideae	IG4	holi
7101	1437183	Mesangiospermae	IG4	holi
6966	220462	Leymus arenarius	IG4	holi
6715	52713	Leymus	IG4	holi
5347	23216	Rubus	IG4	holi
4637	75091	Rubus saxatilis	IG4	holi
3978	435792	Leymus innovatus	IG4	holi
3630	13328	Achillea	IG4	holi
2660	4605	Festuca	IG4	holi
2417	78536	Euphyllophyta	IG4	holi
2303	147389	Triticeae	IG4	holi
2292	1437201	Pentapetalae	IG4	holi
2288	52709	Elymus trachycaulus	IG4	holi
2216	48027	Anthriscus sylvestris	IG4	holi
2181	1120086	Achillea millefolium subsp. borealis	IG4	holi
2105	58023	Tracheophyta	IG4	holi
2067	183794	Leymus mollis	IG4	holi
1986	1648038	Triticodae	IG4	holi
1875	48032	Carum carvi	IG4	holi
1819	376113	Hordelymus europaeus	IG4	holi
89529	3504	Betula	GB6	holi
31600	216990	Betula nana	GB6	holi
25190	241778	Apioideae	GB6	holi
22585	717482	Betula nana subsp. exilis	GB6	holi
21373	38787	Betula pubescens	GB6	holi
20429	669861	Valeriana excelsa subsp. sambucifolia	GB6	holi
13475	1437183	Mesangiospermae	GB6	holi
11917	1648017	Hordeinae	GB6	holi
11803	3514	Betulaceae	GB6	holi
9929	15492	Elymus	GB6	holi
9299	216991	Betula humilis	GB6	holi
7838	3501	Urtica dioica	GB6	holi
6618	1437201	Pentapetalae	GB6	holi
5442	19952	Valeriana	GB6	holi
4195	78536	Euphyllophyta	GB6	holi
4128	23216	Rubus	GB6	holi
3446	75091	Rubus saxatilis	GB6	holi
