58024	1866	Spermatophyta
1301364	1997	Festuca prolifera
15492	2016	Elymus
1648038	2639	Triticodae
147389	3273	Triticeae
376113	3273	Hordelymus europaeus
1652081	3538	Poeae Chloroplast Group 2 (Poeae type)
13328	5156	Achillea
52153	5776	Festuca rubra
464075	5848	Festuca richardsonii
23216	7076	Rubus
435792	7574	Leymus innovatus
4605	8201	Festuca
1120086	9121	Achillea millefolium subsp. borealis
1437201	9624	Pentapetalae
183794	10512	Leymus mollis
48032	11298	Carum carvi
52713	11798	Leymus
52709	12945	Elymus trachycaulus
147368	14098	Pooideae
48027	15282	Anthriscus sylvestris
78536	15689	Euphyllophyta
58023	16425	Tracheophyta
75091	18002	Rubus saxatilis
220462	23192	Leymus arenarius
38820	26705	Poales
13329	32755	Achillea millefolium
1437183	41082	Mesangiospermae
241778	46759	Apioideae
1648017	96960	Hordeinae
91882	0	campanulids
