0 M_bisviv_r1_208559
0 M_bisviv_r1_227578
137670 M_bisviv_r1_50278
137670 M_bisviv_r1_209214
0 M_bisviv_r1_156588
371026 M_bisviv_r1_312192
0 M_bisviv_r1_216848
0 M_bisviv_r1_181432
0 M_bisviv_r1_308117
0 M_bisviv_r1_238078
0 M_bisviv_r1_88155
0 M_bisviv_r1_99789
0 M_bisviv_r1_207181
0 M_bisviv_r1_303122
137670 M_bisviv_r1_310780
137670 M_bisviv_r1_250030
0 M_bisviv_r1_133142
0 M_bisviv_r1_87797
0 M_bisviv_r1_152648
1110384 M_bisviv_r1_194410
0 M_bisviv_r1_265161
0 M_bisviv_r1_181568
0 M_bisviv_r1_211800
0 M_bisviv_r1_87378
0 M_bisviv_r1_133506
125587 M_bisviv_r1_253440
0 M_bisviv_r1_72428
0 M_bisviv_r1_257793
0 M_bisviv_r1_192459
0 M_bisviv_r1_81131
0 M_bisviv_r1_136409
0 M_bisviv_r1_130550
0 M_bisviv_r1_17262
0 M_bisviv_r1_63291
125587 M_bisviv_r1_85756
0 M_bisviv_r1_225679
0 M_bisviv_r1_81124
0 M_bisviv_r1_26629
0 M_bisviv_r1_114903
0 M_bisviv_r1_229414
0 M_bisviv_r1_293409
371026 M_bisviv_r1_57798
137670 M_bisviv_r1_152747
137670 M_bisviv_r1_57877
0 M_bisviv_r1_46247
0 M_bisviv_r1_89090
371026 M_bisviv_r1_322590
371026 M_bisviv_r1_134576
0 M_bisviv_r1_7720
1437201 M_bisviv_r1_199386
0 M_bisviv_r1_261823
0 M_bisviv_r1_125171
0 M_bisviv_r1_119500
371026 M_bisviv_r1_72927
0 M_bisviv_r1_179593
1110380 M_bisviv_r1_198235
0 M_bisviv_r1_79843
1437183 M_bisviv_r1_110591
0 M_bisviv_r1_256923
0 M_bisviv_r1_290367
1437183 M_bisviv_r1_25120
125587 M_bisviv_r1_60334
0 M_bisviv_r1_237483
0 M_bisviv_r1_262482
125587 M_bisviv_r1_225445
0 M_bisviv_r1_323231
0 M_bisviv_r1_86868
137670 M_bisviv_r1_9628
0 M_bisviv_r1_40725
137670 M_bisviv_r1_52788
