sample,category,read_count
vacc_64,higher_taxa,15636
vacc_64,higher_genus,13539
vacc_64,higher_family,694
vacc_68,unid,107651
vacc_68,off_target,196
vacc_68,off_genus,1344
vacc_68,off_family,162
vacc_68,target,42470
vacc_68,higher_taxa,15638
vacc_68,higher_genus,13568
vacc_68,higher_family,694
vacc_6,unid,135902
vacc_6,off_target,266
vacc_6,off_genus,5923
vacc_6,off_family,494
vacc_6,target,13433
vacc_6,higher_taxa,14973
vacc_6,higher_genus,10065
vacc_6,higher_family,667
vacc_7,unid,134859
vacc_7,off_target,265
vacc_7,off_genus,5665
vacc_7,off_family,471
vacc_7,target,14516
vacc_7,higher_taxa,14996
vacc_7,higher_genus,10284
vacc_7,higher_family,667
vacc_8,unid,133836
vacc_8,off_target,243
vacc_8,off_genus,5448
vacc_8,off_family,457
vacc_8,target,15585
vacc_8,higher_taxa,15025
vacc_8,higher_genus,10460
vacc_8,higher_family,669
vacc_9,unid,131962
vacc_9,off_target,244
vacc_9,off_genus,5128
vacc_9,off_family,433
vacc_9,target,17504
vacc_9,higher_taxa,15070
vacc_9,higher_genus,10705
vacc_9,higher_family,677
