102714	M_dryoct_r1_157098,M_dryoct_r1_171985
102718	M_dryoct_r1_542654
102722	M_dryoct_r1_546206
102724	M_dryoct_r1_116892
102745	M_dryoct_r1_341863,M_dryoct_r1_555656
102804	M_dryoct_r1_31208,M_dryoct_r1_320863
102812	M_dryoct_r1_178790
105913	M_dryoct_r1_272778,M_dryoct_r1_555513
108412	M_dryoct_r1_400027
108425	M_dryoct_r1_65425
1114890	M_dryoct_r1_310218
1120560	M_dryoct_r1_2257,M_dryoct_r1_410324
113636	M_dryoct_r1_159500,M_dryoct_r1_472281,M_dryoct_r1_643415
1155243	M_dryoct_r1_18556
1155247	M_dryoct_r1_546033
1155248	M_dryoct_r1_224710,M_dryoct_r1_322672,M_dryoct_r1_326787,M_dryoct_r1_389972,M_dryoct_r1_564575,M_dryoct_r1_86920,M_dryoct_r1_99463
1155358	M_dryoct_r1_578601
1155362	M_dryoct_r1_129921
1161166	M_dryoct_r1_19021,M_dryoct_r1_466417,M_dryoct_r1_473695
118766	M_dryoct_r1_157865
118891	M_dryoct_r1_170833,M_dryoct_r1_572061
121769	M_dryoct_r1_293931
1239890	M_dryoct_r1_379763
125027	M_dryoct_r1_103287,M_dryoct_r1_103353,M_dryoct_r1_144276
127129	M_dryoct_r1_222054
127977	M_dryoct_r1_515953
129741	M_dryoct_r1_156535
1301411	M_dryoct_r1_29871,M_dryoct_r1_313728,M_dryoct_r1_474760
1301413	M_dryoct_r1_226734,M_dryoct_r1_333544,M_dryoct_r1_388038,M_dryoct_r1_548271
1301445	M_dryoct_r1_309137
13054	M_dryoct_r1_113250
13129	M_dryoct_r1_250487,M_dryoct_r1_418006,M_dryoct_r1_576303
13274	M_dryoct_r1_456581
13288	M_dryoct_r1_573634
134520	M_dryoct_r1_545279
134521	M_dryoct_r1_372788,M_dryoct_r1_60484
135520	M_dryoct_r1_86713
136204	M_dryoct_r1_326401,M_dryoct_r1_557001
13648	M_dryoct_r1_644397
137456	M_dryoct_r1_15087,M_dryoct_r1_215554,M_dryoct_r1_27372,M_dryoct_r1_274397,M_dryoct_r1_277844,M_dryoct_r1_457554
1385505	M_dryoct_r1_291347,M_dryoct_r1_472390
1405028	M_dryoct_r1_578555
140843	M_dryoct_r1_638101
140874	M_dryoct_r1_59459
140997	M_dryoct_r1_152466,M_dryoct_r1_192740,M_dryoct_r1_216030,M_dryoct_r1_235265,M_dryoct_r1_316254,M_dryoct_r1_51325,M_dryoct_r1_599665
1435599	M_dryoct_r1_12546,M_dryoct_r1_324896,M_dryoct_r1_337941,M_dryoct_r1_654041
